CCODE2K2,CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,WHO_REGION,ISO_2_CODE,ADM2_CODE,ADM1_COD_1,ADM0_CODE,GUID,WHO_CODE,ISO_2_ADM2,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,GlobalID,ADM1_VIZ_N,ADM2_VIZ_N,OCHAPCODE1
03,Liberia,LBR,Bomi,LBR03,AFRO,LR,LR001008001000000000,LR001008000000000000,LR001000000000000000,{D640DD92-005D-4F8D-8778-E1E4274175DB},LIB,LR_BOMI,2,Member state,430,WCARO,-10.80388421230,6.71349400493,{3D0B9914-3833-4A50-BBE8-77776611D7ED},Montserrado,Bomi,LR01
06,Liberia,LBR,Bong,LBR06,AFRO,LR,LR001001001000000000,LR001001000000000000,LR001000000000000000,{2028113B-9DAE-49D0-AB36-0F00F4E3D4C1},LIB,LR_BONG,2,Member state,430,WCARO,-9.69104140342,6.90739962029,{7B414292-0006-4CC8-9A4A-BE0A1A51A9BC},Bong,Bong,LR02
09,Liberia,LBR,Grand Bassa,LBR09,AFRO,LR,LR001003001000000000,LR001003000000000000,LR001000000000000000,{2661EC85-877D-4855-B1E7-A6D183A708D1},LIB,LR_GRAND BASSA,2,Member state,430,WCARO,-9.82114298398,6.21924839661,{F1ADCF03-79FD-401C-A2AA-BD631EB546E6},Grand Bassa,Grand Bassa,LR04
12,Liberia,LBR,Grand Cape Mount,LBR12,AFRO,LR,LR001004001000000000,LR001004000000000000,LR001000000000000000,{ECBFB081-DE79-491D-BC27-FF4CE72E0ACC},LIB,LR_GRAND CAPE MOUNT,2,Member state,430,WCARO,-11.02338553750,7.10183485982,{DB7DBA8B-B6E7-49C2-BF51-8435D8BB983C},Grand Cape Mount,Grand Cape Mount,LR05
15,Liberia,LBR,Grand Gedeh,LBR15,AFRO,LR,LR001005001000000000,LR001005000000000000,LR001000000000000000,{1ACFF5CE-8BE8-41AD-8B75-23006FA2D9E8},LIB,LR_GRAND GEDEH,2,Member state,430,WCARO,-8.17178174322,5.89001724295,{3258AD76-5F41-4800-89DF-46A6D5BC8759},Grand Gedeh,Grand Gedeh,LR06
18,Liberia,LBR,River Cess,LBR18,AFRO,LR,LR001003002000000000,LR001003000000000000,LR001000000000000000,{ACEFA775-398F-489D-8607-6E361B65F2D1},LIB,LR_RIVERCESS,2,Member state,430,WCARO,-9.38873312546,5.88306672264,{B969D4C3-E0BC-49AE-AD7C-A003DD9E0D9C},Grand Bassa,River Cess,LR13
24,Liberia,LBR,Margibi,LBR24,AFRO,LR,LR001008002000000000,LR001008000000000000,LR001000000000000000,{D511A13B-4AB3-4ED0-9D4D-CDEE7C37DE97},LIB,LR_MARGIBI,2,Member state,430,WCARO,-10.51430342190,6.25850699004,{56F31511-681A-49E2-9985-CD6B50342B40},Montserrado,Margibi,LR09
27,Liberia,LBR,Maryland,LBR27,AFRO,LR,LR001007002000000000,LR001007000000000000,LR001000000000000000,{5FD4B485-A096-488F-BD8C-4394B349012C},LIB,LR_MARYLAND,2,Member state,430,WCARO,-7.84598237142,4.75442775384,{BF37F00D-C95E-49B2-919F-C5CE721738BA},Maryiland,Maryland,LR10
33,Liberia,LBR,Nimba,LBR33,AFRO,LR,LR001009001000000000,LR001009000000000000,LR001000000000000000,{EFE6B8BB-C87E-4F8A-8890-1BA02EB215B9},LIB,LR_NIMBA,2,Member state,430,WCARO,-8.76747393751,6.82512472225,{AD56C072-13D4-4BA8-9ACE-262421375ED6},Nimba,Nimba,LR12
39,Liberia,LBR,Sinoe,LBR39,AFRO,LR,LR001010001000000000,LR001010000000000000,LR001000000000000000,{BFE75F8A-3C58-49CF-B5CB-1E660B2A27D1},LIB,LR_SINOE,2,Member state,430,WCARO,-8.89341580730,5.37929437029,{860B2FA2-0E38-4C57-890F-49367D0091F1},Sinoe,Sinoe,LR15
45,Liberia,LBR,Gbarpolu,LBR45,AFRO,LR,LR001002001000000000,LR001002000000000000,LR001000000000000000,{89E1F760-5834-425B-9E5C-AAA3CEAB09DD},LIB,LR_GBARPOLU,2,Member state,430,WCARO,-10.36877756560,7.37581925920,{99B89850-2848-4E23-B74C-CFD1982B3FF6},Gbarpolu,Gbarpolu,LR03
21,Liberia,LBR,Lofa,LBR21,AFRO,LR,LR001006001000000000,LR001006000000000000,LR001000000000000000,{D1EBDED5-42AF-45D5-B572-212D622ABDFB},LIB,LR_LOFA,2,Member state,430,WCARO,-9.87014612692,7.92979784072,{6EAFF7AD-7982-4DBF-8EEF-49C4E9D95331},Lofa,Lofa,LR08
03,Liberia,LBR,Montserrado,LBR03,AFRO,LR,LR001008003000000000,LR001008000000000000,LR001000000000000000,{D6F57210-A900-4BE9-9EC2-F0C73DB0B433},LIB,LR_MONTSERRADO,2,Member state,430,WCARO,-10.48467122910,6.51168203445,{0719C492-5BCA-4CF4-B354-7C041EFCE375},Montserrado,Montserrado,LR11
36,Liberia,LBR,River Gee,LBR36,AFRO,LR,LR001005002000000000,LR001005000000000000,LR001000000000000000,{25E5625B-259B-44EF-98BE-A3766B0C565C},LIB,LR_RIVER GEE,2,Member state,430,WCARO,-7.91973495214,5.23106855488,{3F80FBBA-3093-40BF-AA05-2ABFE63072F6},Grand Gedeh,River Gee,LR14
18,Liberia,LBR,Grand Kru,LBR18,AFRO,LR,LR001007001000000000,LR001007000000000000,LR001000000000000000,{0FEF85C0-C239-40FD-A0BB-4844FDA4D6F9},LIB,LR_GRAND KRU,2,Member state,430,WCARO,-8.25168335280,4.77135474117,{52F44148-B26B-4682-985E-CFA2017555EC},Maryiland,Grand Kru,LR07
